Kod,Nazwa,ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym,ludność w wieku poprodukcyjnym na 100 osób w wieku przedprodukcyjnym,ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym,współczynnik obciążenia demograficznego osobami starszymi,odsetek osób w wieku 65 lat i więcej w populacji ogółem,odsetek osób w wieku 65 lat i więcej w populacji ogółem - mężczyźni,odsetek osób w wieku 65 lat i więcej w populacji ogółem - kobiety
,,2024,2024,2024,2024,2024,2024,2024
,,[osoba],[osoba],[osoba],[osoba],[osoba],[osoba],[osoba]
1203000,Powiat chrzanowski,"75,3","165,4","46,9","36,2","23,1","19,5","26,4"
1204000,Powiat dąbrowski,"65,2","118,0","35,3","27,1","18,2","15,7","20,6"
1205000,Powiat gorlicki,"72,2","117,5","39,0","29,7","19,3","16,6","22,0"
1206000,Powiat krakowski,"69,8","97,3","34,4","26,5","17,4","15,1","19,6"
1207000,Powiat limanowski,"70,0","76,7","30,4","23,0","15,1","13,1","17,1"
1208000,Powiat miechowski,"78,1","158,5","47,9","37,6","23,5","20,4","26,5"
1209000,Powiat myślenicki,"69,1","89,1","32,5","24,7","16,3","14,2","18,3"
1210000,Powiat nowosądecki,"68,8","79,5","30,5","22,8","15,1","13,1","17,2"
1211000,Powiat nowotarski,"67,2","100,7","33,7","25,8","17,2","14,7","19,5"
1212000,Powiat olkuski,"77,1","164,0","47,9","37,3","23,6","20,2","26,7"
1213000,Powiat oświęcimski,"74,2","140,8","43,4","33,4","21,4","17,9","24,7"
1214000,Powiat proszowicki,"70,7","136,2","40,7","32,2","20,8","18,0","23,5"
1215000,Powiat suski,"68,9","107,5","35,7","27,4","18,0","15,3","20,6"
1216000,Powiat tarnowski,"66,2","105,9","34,1","26,0","17,4","14,9","19,8"
1217000,Powiat tatrzański,"71,3","120,1","38,9","29,8","19,4","16,2","22,3"
1218000,Powiat wadowicki,"69,8","108,9","36,4","27,8","18,2","15,2","21,2"
1219000,Powiat wielicki,"67,4","82,6","30,5","23,6","15,6","13,4","17,7"
1261000,Powiat m. Kraków,"63,8","136,5","36,8","30,0","19,9","16,4","22,9"
1262000,Powiat m. Nowy Sącz,"76,3","130,8","43,2","33,1","21,1","17,6","24,3"
1263000,Powiat m. Tarnów,"77,8","187,0","50,7","39,4","24,8","20,3","28,8"
1400000,MAZOWIECKIE,"70,8","117,4","38,2","30,2","19,6","16,2","22,6"
1401000,Powiat białobrzeski,"71,9","108,6","37,4","29,1","18,8","16,2","21,5"
1402000,Powiat ciechanowski,"76,1","134,1","43,6","33,1","21,1","17,7","24,4"
1403000,Powiat garwoliński,"74,7","96,0","36,6","28,1","18,0","15,2","20,7"
1404000,Powiat gostyniński,"74,4","153,5","45,0","34,7","22,3","18,5","25,8"
1405000,Powiat grodziski,"72,9","93,4","35,2","27,3","17,6","14,8","20,2"
1406000,Powiat grójecki,"74,7","124,8","41,4","32,5","20,7","17,6","23,7"
1407000,Powiat kozienicki,"78,9","150,1","47,3","36,9","23,1","19,5","26,6"
1408000,Powiat legionowski,"70,4","94,8","34,2","27,1","17,6","14,9","20,2"
1409000,Powiat lipski,"80,3","163,8","49,8","38,5","24,0","20,3","27,6"
1410000,Powiat łosicki,"78,1","139,5","45,5","35,2","22,0","18,5","25,6"
1411000,Powiat makowski,"76,0","131,2","43,1","33,1","21,1","18,0","24,2"
1412000,Powiat miński,"72,6","98,3","36,0","27,8","18,0","15,1","20,7"
1413000,Powiat mławski,"71,7","121,3","39,3","29,8","19,4","16,0","22,6"
1414000,Powiat nowodworski,"72,6","122,9","40,0","30,9","20,0","16,9","22,9"
1415000,Powiat ostrołęcki,"65,6","93,2","31,6","23,9","16,0","13,4","18,6"
1416000,Powiat ostrowski,"74,6","135,4","42,9","33,2","21,3","17,8","24,6"
1417000,Powiat otwocki,"77,2","115,8","41,4","32,2","20,3","16,9","23,5"
1418000,Powiat piaseczyński,"68,2","84,4","31,2","24,3","16,1","13,8","18,1"
1419000,Powiat płocki,"67,0","112,9","35,5","27,4","18,2","15,6","20,8"
1420000,Powiat płoński,"73,2","129,1","41,2","31,7","20,5","17,2","23,7"
1421000,Powiat pruszkowski,"73,2","104,7","37,5","29,7","19,0","16,0","21,7"
1422000,Powiat przasnyski,"74,7","115,4","40,0","30,4","19,5","16,4","22,6"
1423000,Powiat przysuski,"76,6","137,3","44,3","33,6","21,6","18,1","25,0"
1424000,Powiat pułtuski,"72,0","116,9","38,8","30,0","19,4","16,1","22,7"
1425000,Powiat radomski,"69,5","100,6","34,9","26,7","17,6","14,9","20,2"
1426000,Powiat siedlecki,"71,7","98,1","35,5","27,4","17,8","15,0","20,6"
1427000,Powiat sierpecki,"71,5","126,7","40,0","30,1","19,8","16,4","23,1"
1428000,Powiat sochaczewski,"74,6","123,1","41,2","31,6","20,3","17,0","23,3"
1429000,Powiat sokołowski,"79,0","147,6","47,1","36,5","22,9","19,6","26,1"
1430000,Powiat szydłowiecki,"70,5","127,9","39,6","30,5","20,0","16,5","23,4"
1432000,Powiat warszawski zachodni,"73,0","92,6","35,1","27,2","17,5","15,1","19,8"
1433000,Powiat węgrowski,"78,2","125,5","43,5","34,0","21,3","17,9","24,7"
1434000,Powiat wołomiński,"66,4","76,6","28,8","22,3","14,8","12,2","17,2"
1435000,Powiat wyszkowski,"72,6","103,4","36,9","28,0","18,2","15,1","21,2"
1436000,Powiat zwoleński,"71,7","128,0","40,3","31,2","20,2","16,8","23,6"
1437000,Powiat żuromiński,"72,9","132,8","41,6","31,7","20,5","17,5","23,5"
1438000,Powiat żyrardowski,"74,2","127,1","41,5","32,4","20,7","17,1","24,1"
1461000,Powiat m. Ostrołęka,"83,7","150,7","50,3","37,8","23,6","19,6","27,1"
1462000,Powiat m. Płock,"77,0","169,5","48,4","38,1","24,0","19,5","28,0"
1463000,Powiat m. Radom,"78,0","165,0","48,6","37,6","23,7","19,0","28,0"
1464000,Powiat m. Siedlce,"81,2","126,0","45,3","35,2","21,8","17,7","25,4"
1465000,Powiat m. st. Warszawa,"66,8","128,0","37,5","30,8","20,1","16,4","23,3"
1600000,OPOLSKIE,"70,5","153,9","42,8","33,0","21,5","18,1","24,7"
1601000,Powiat brzeski,"71,6","146,0","42,5","33,0","21,5","17,9","24,9"
1602000,Powiat głubczycki,"72,6","179,0","46,6","36,0","23,3","19,7","26,8"
1603000,Powiat kędzierzyńsko-kozielski,"70,4","169,0","44,2","34,1","22,3","18,5","25,8"
1604000,Powiat kluczborski,"69,0","159,6","42,4","32,4","21,4","18,0","24,5"
1605000,Powiat krapkowicki,"66,4","147,6","39,6","30,4","20,2","16,9","23,2"
1606000,Powiat namysłowski,"73,6","136,4","42,5","32,4","20,9","17,8","23,9"
1607000,Powiat nyski,"72,7","172,9","46,1","35,8","23,1","19,4","26,5"
1608000,Powiat oleski,"71,2","148,5","42,5","32,3","21,1","18,2","23,8"
1609000,Powiat opolski,"67,1","134,0","38,4","29,1","19,4","16,8","21,8"
1610000,Powiat prudnicki,"71,4","154,7","43,4","33,3","21,7","18,1","24,9"
1611000,Powiat strzelecki,"67,0","136,7","38,7","29,4","19,5","16,5","22,4"
1661000,Powiat m. Opole,"73,6","163,0","45,6","36,7","23,3","19,3","26,7"
1800000,PODKARPACKIE,"69,8","124,9","38,7","29,9","19,6","16,5","22,6"
1801000,Powiat bieszczadzki,"67,2","156,4","41,0","31,4","20,8","18,5","23,0"
1802000,Powiat brzozowski,"69,2","119,4","37,7","29,3","19,2","16,4","22,0"
1803000,Powiat dębicki,"69,0","114,8","36,9","28,2","18,6","15,7","21,4"
1804000,Powiat jarosławski,"69,6","129,3","39,2","30,1","19,8","16,5","23,0"
1805000,Powiat jasielski,"68,6","140,0","40,0","30,7","20,3","17,1","23,4"
1806000,Powiat kolbuszowski,"63,3","111,6","33,4","25,8","17,4","14,9","19,9"
1807000,Powiat krośnieński,"71,0","121,7","39,0","29,8","19,5","16,5","22,4"
1808000,Powiat leżajski,"67,9","124,5","37,7","29,0","19,2","16,2","22,1"
1809000,Powiat lubaczowski,"66,7","144,8","39,4","30,5","20,2","17,0","23,4"
1810000,Powiat łańcucki,"71,2","105,6","36,6","28,1","18,3","15,2","21,3"
1811000,Powiat mielecki,"71,1","119,7","38,7","29,9","19,5","16,6","22,2"
1812000,Powiat niżański,"65,5","135,6","37,7","28,6","19,2","16,0","22,3"
1813000,Powiat przemyski,"66,0","116,0","35,5","27,2","18,2","15,5","20,9"
1814000,Powiat przeworski,"68,5","123,8","37,9","29,2","19,3","16,4","22,1"
1815000,Powiat ropczycko-sędziszowski,"68,1","97,3","33,6","26,1","17,2","14,6","19,6"
1816000,Powiat rzeszowski,"67,8","91,4","32,4","24,9","16,5","14,1","18,8"
1817000,Powiat sanocki,"72,3","144,6","42,7","33,0","21,4","18,3","24,4"
1818000,Powiat stalowowolski,"73,2","159,9","45,0","35,4","22,7","19,4","25,9"
1819000,Powiat strzyżowski,"66,5","125,0","36,9","28,4","18,9","16,2","21,6"
1820000,Powiat tarnobrzeski,"68,2","139,8","39,8","31,1","20,5","17,1","23,7"
1821000,Powiat leski,"68,8","151,3","41,4","32,2","21,1","18,5","23,6"
1861000,Powiat m. Krosno,"82,0","171,7","51,8","40,2","24,9","20,6","28,6"
1862000,Powiat m. Przemyśl,"78,9","194,4","52,1","39,9","25,1","20,4","29,2"
1863000,Powiat m. Rzeszów,"71,1","114,0","37,9","29,8","19,3","16,0","22,2"
1864000,Powiat m. Tarnobrzeg,"75,0","192,7","49,4","38,3","24,5","20,3","28,3"
2000000,PODLASKIE,"72,1","135,0","41,4","31,7","20,6","17,1","23,9"
2001000,Powiat augustowski,"70,0","145,0","41,4","31,7","20,8","17,3","24,0"
2002000,Powiat białostocki,"70,8","106,1","36,4","27,8","18,2","15,5","20,7"
2003000,Powiat bielski,"81,0","165,9","50,5","38,8","24,1","20,3","27,8"
2004000,Powiat grajewski,"69,2","137,6","40,1","30,5","20,1","16,9","23,2"
2005000,Powiat hajnowski,"88,2","224,9","61,0","47,1","28,3","23,6","32,8"
2006000,Powiat kolneński,"63,9","124,0","35,4","27,3","18,3","15,1","21,6"
2007000,Powiat łomżyński,"66,3","110,1","34,8","26,6","17,8","15,2","20,3"
2008000,Powiat moniecki,"68,4","148,2","40,8","31,5","20,7","17,2","24,2"
